Countries,World Rank,2019 Score,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Business Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),GDP Growth Rate (%),5 Year GDP Growth Rate (%)
Afghanistan,152,51.5,29.6,25.2,91.7,80.3,49.2,66,10,10,7,20,20,5,25.6,35.5,2.5,2.9
Albania,52,66.5,30.6,40.4,86.3,73.9,69.3,87.8,70,70,1.1,23,15,24.9,29.5,2.9,3.9,2.5
Algeria,171,46.2,36.2,28.9,76.4,48.7,61.6,67.4,30,30,8.8,35,23,24.5,41.4,41.5,2,3.1
Angola,156,50.6,26.6,20.5,83.9,80.7,55.7,61.2,30,40,9.4,17,30,20.6,25.3,28.2,0.7,2.9
Argentina,148,52.2,44.5,33.5,69.3,49.5,56.4,70,55,60,7.5,35,30,30.8,41,44.1,2.9,0.7
Armenia,47,67.7,46.3,38.6,84.7,79,78.3,80.8,75,70,2.1,26,20,21.3,26.4,3,7.5,3.6
Australia,5,80.9,86.5,79.9,62.8,60.1,88.3,87.6,80,90,1.2,45,30,28.2,36.5,24.8,2.3,2.4
Austria,31,72,71.3,77.4,50.5,24.5,74.9,86,90,70,2,50,25,42.7,50.2,8.8,2.9,1.3
Azerbaijan,60,65.4,53.1,44.7,87.5,59.5,69.5,74.6,60,60,5.2,25,20,15,36.7,9.8,0.1,1.2
Bahamas,76,62.9,46.9,43.7,97.3,86.8,68.5,47.8,50,60,18.6,0,0,16.3,21,0.4,1.3,-0.7
Bahrain,54,66.4,50.7,53.6,99.7,62.7,71.4,83.8,75,80,3.1,0,0,5.6,35.3,1.5,3.2,3.8
Bangladesh,121,55.6,34.5,24.4,72.7,94.5,50.9,63.6,45,30,10.7,25,45,8.8,13.6,163.2,7.1,6.7
Barbados,67,64.7,59.9,53.8,70.1,65,69.8,56.6,70,60,14.2,35,25,33.7,34.1,0.3,0.9,0.6
Belarus,104,57.9,51.7,37.7,89.4,41.3,75,76.4,30,10,1.8,13,18,23.8,44.2,9.5,2.4,-0.3
Belgium,48,67.3,61.6,72.5,47.1,15.2,78.1,86,85,70,2,50,29,44.2,53.2,11.4,1.7,1.2
Belize,123,55.4,46.9,27.2,79.9,65.9,61.8,64,55,50,10.5,25,25,27.6,33.7,0.4,0.8,1.8
Benin,127,55.3,32.8,28.1,69.3,83.4,62.4,61.8,70,50,11.6,45,30,11.9,23.5,11.1,5.6,5
Bhutan,74,62.9,55.4,54.5,83,71.6,68.7,79.4,20,30,2.8,25,30,13.4,30.7,0.8,6,5.2
Bolivia,173,42.3,12.3,19.7,82.4,49.3,58.8,70.4,15,40,4.8,13,25,31.1,41.1,11.1,4.2,5.1
Bosnia and Herzegovina,83,61.9,37.9,30.2,84.3,46.1,49.7,82.6,65,60,1.2,10,10,37,42.4,3.5,2.7,2.5
Botswana,36,69.5,45.7,52.4,82.7,65.9,68.7,83.8,65,70,0.6,25,22,24.9,33.7,2.2,2.2,4.1
Brazil,150,51.9,51.7,28.1,70.5,55.2,57.9,69,50,50,8,27.5,34,32.2,38.6,207.7,1,-0.5
Brunei Darussalam,63,65.1,56,43.7,90.7,59.9,80.2,84,65,50,0.5,0,18.5,24.2,36.6,0.4,0.5,-1.4
Bulgaria,37,69,41.9,35.1,90.2,63.9,62.7,86,70,60,2,10,10,28,34.7,7.1,3.6,2.7
Burkina Faso,96,59.4,42.9,36.6,81.9,80,51.6,65.2,65,40,7.4,27.5,28,16.3,25.8,18.9,6.4,5.3
Burma,139,53.6,18.1,30.6,86.6,85.4,52.8,70.8,30,20,4.6,20,30,6.5,22.1,52.6,6.7,7.2
Burundi,162,48.9,31,26.2,74,83.3,50.3,68.2,50,30,5.9,35,35,12.3,23.6,10.9,0,1.1
Cambodia,105,57.8,27.6,16.7,89.7,85.9,29.9,65.4,60,50,9.8,20,20,15,21.7,16,6.9,7.1
Cameroon,145,52.4,31.3,25.5,74.4,87.5,44.4,53.4,30,50,15.8,35,33,15.6,20.4,24.3,3.2,4.9
Canada,8,77.7,69.4,84.6,76.8,51.3,81.9,86.8,80,80,1.6,33,15,31.7,40.3,36.7,3,2.1
Cabo Verde,73,63.1,49,43.7,76.4,71.2,65.2,68.2,80,60,10.9,35,24,23.7,31,0.5,4,2
Central African Republic,161,49.1,29.6,23.2,65.2,94.2,24.2,51,45,30,14.5,50,30,9,13.9,5,4,-4.5
Chad,159,49.9,24.6,23.2,46.1,92.4,28.1,47.2,60,40,16.4,60,45,5.3,15.9,12.2,-3.1,1
Chile,18,75.4,56.3,62.3,77.3,81,76.6,88.8,85,70,0.6,35,25,20.4,25.2,18.4,1.5,2.2
China,100,58.4,75.2,49.1,70.4,70.1,56.2,73,25,20,3.5,45,25,17.5,31.6,1390.1,6.9,7.1
Colombia,49,67.3,34.3,33.5,74.3,75,71.4,76,80,70,7,33,33,19.9,28.9,49.3,1.8,3.2
Comoros,124,55.4,29.6,24.4,63.9,73.4,57.2,70,45,30,5,30,50,14.5,29.8,0.8,2.5,2.2
"Congo, Democratic Republic of the Congo",157,50.3,30.7,26.2,73.8,93.9,53.2,62.6,30,20,11.2,30,40,10.8,14.2,86.7,3.4,6.1
"Congo, Republic of",176,39.7,29.6,25.3,59.5,40.6,38.2,56.8,45,30,11.6,45,34,29.5,44.5,4.3,-4.6,1.1
Costa Rica,61,65.3,54,54.5,79.2,88.4,67.2,81.4,70,50,1.8,25,30,23.6,19.6,5,3.2,3.4
C?te d'Ivoire,78,62.4,47.8,38.1,77.5,83.9,61,73.6,75,50,8.2,36,25,18.2,23.1,25,7.8,8.6
Croatia,86,61.4,42.9,38.6,66.4,33.4,60.7,86,75,60,2,40,18,37.9,47.1,4.1,2.8,1.5
Cuba,178,27.8,10,37.7,48.8,0,20,64,10,10,8,50,30,41.5,64.2,11.5,0.9,1.9
Cyprus,44,68.1,48.1,43.7,74.9,55.2,76.9,86,75,60,2,35,12.5,33.6,38.7,0.9,3.9,0.3
Czech Republic,23,73.7,47.6,52.1,82.6,52.1,72.4,86,80,80,2,15,19,34,40,10.6,4.3,2.9
Denmark,14,76.7,77.8,85.8,42,14.4,90.7,86,90,80,2,56,23.5,45.9,53.4,5.7,2.1,1.6
Djibouti,169,47.1,18.1,28.1,76.2,27.3,54.7,50.4,80,50,17.3,30,25,29.2,49.2,1,6.7,6.1
Dominica,72,63.6,63.8,54.5,72.1,53.5,70.7,68.2,70,30,8.4,35,30,25.8,39.4,0.1,-4.2,0
Dominican Republic,89,61,18.1,23.2,84.6,90.3,51.9,75.8,70,40,4.6,25,27,13.6,17.9,10.2,4.6,6.1
Ecuador,170,46.9,20.2,25.3,77,55.5,54.1,66.4,35,40,6.8,35,25,21.2,38.5,16.8,2.7,2
Egypt,144,52.5,48.3,29.2,85.2,68.1,65.9,71.8,60,50,6.6,25,23,18,32.6,94.8,4.2,3.8
El Salvador,84,61.8,29.1,23.4,78.1,86.3,57.2,81.4,75,60,1.8,30,30,19.7,21.4,6.4,2.4,2.1
Equatorial Guinea,174,41,18.1,15.8,71.3,67.6,37.6,48.8,40,30,15.6,35,35,20.4,32.8,0.8,-4.4,-5.6
Eritrea,177,38.9,18.1,19.7,81.4,73.9,17.7,69.2,0,20,5.4,30,30,8,29.5,5.9,5,3.4
Estonia,15,76.6,76,73.1,79.9,51.1,75.3,86,90,70,2,20,20,34.7,40.4,1.3,4.9,2.7
Eswatini,132,54.7,42.9,35,74.8,65.6,59.2,87.6,50,40,1.2,33,28,25.5,33.9,1.1,0.2,2
Ethiopia,137,53.6,40.9,35.1,77.2,90.4,48.6,60.8,35,20,12.1,35,30,12.4,17.9,92.7,10.9,9.9
Fiji,81,62.2,42.9,23.4,81.1,71.7,63,62.8,55,50,11.1,29,20,25.5,30.7,0.9,3.8,3.7
Finland,20,74.9,81.2,92.5,66.8,7.2,89.4,86,85,80,2,31.3,20,44.1,55.6,5.5,3,0.8
France,71,63.8,66.1,67.9,48.4,3.9,81.2,81,75,70,2,45,33,45.3,56.6,64.8,1.8,1.1
Gabon,118,56.3,30.6,35.5,75.8,86.6,52.1,51.2,60,40,16.9,35,30,17.3,21.1,1.9,0.8,3.4
Gambia,146,52.4,42.5,41.2,74.3,70.7,54,61.6,65,50,14.2,35,32,17.9,31.3,2.1,3.5,3.1
Georgia,16,75.9,54.6,58.5,87.1,73.6,85.8,88.6,80,70,0.7,20,15,25.8,29.6,3.7,4.8,3.7
Germany,24,73.5,75.4,81.3,60.8,42.3,83.3,86,80,70,2,47.5,15.8,37.6,43.9,82.7,2.5,1.7
Ghana,109,57.5,44.2,35.5,78.8,82,56.5,63.4,70,60,10.8,35,25,16.5,24.5,28.3,8.4,5.5
Greece,106,57.7,49.5,37.7,59.1,23.3,74.1,81,55,50,2,42,29,38.6,50.6,10.8,1.4,-0.3
Guatemala,77,62.6,32.3,26.4,79.2,95.6,53.6,82.2,70,50,1.4,31,31,12.6,12.1,16.9,2.8,3.6
Guinea,120,55.7,32.6,25.5,69.4,89.8,54.6,63.2,50,40,10.9,40,35,15.3,18.4,13,6.7,4.9
Guinea-Bissau,135,54,42.9,25.3,88.8,86.7,35.9,55.6,30,30,12.2,20,25,9.6,21,1.7,5.5,4.3
Guyana,113,56.8,42.9,33.2,67,69.4,59.3,66.8,55,30,6.6,33.3,40,24.4,32,0.8,2.1,3.5
Haiti,143,52.7,25.3,20.3,79.9,88.3,36.2,72,45,30,6.5,30,30,14.5,19.7,11,1.2,2.2
Honduras,93,60.2,31,25.3,82.8,78.2,56.9,79.4,65,60,2.8,25,25,21.6,27,8.3,4.8,3.6
Hong Kong,1,90.2,75.3,83.8,93.1,90.3,96.4,95,90,90,0,15,16.5,14,17.9,7.4,3.8,2.8
Hungary,64,65,45.2,35.3,78.6,31.7,61.1,86,80,70,2,15,19,39.4,47.7,9.8,4,3.2
Iceland,11,77.1,63.8,83.8,72.7,44,88.4,87,85,70,1.5,31.8,20,36.4,43.2,0.3,3.6,4.4
India,129,55.2,61.6,47.8,79.4,77.3,57.1,72.4,40,40,6.3,30.9,32.4,7.2,27.5,1316.9,6.7,7.2
Indonesia,56,65.8,53.5,39.5,83.7,91.4,69.3,79.8,45,60,2.6,30,25,10.4,16.9,262,5.1,5.1
Iran,155,51.1,41.3,35,80.9,89.8,62.2,54.6,5,10,15.2,35,25,8,18.5,81.4,4.3,3.6
Iraq,N/A,N/A,12.3,20.3,N/A,52.8,54.4,N/A,N/A,N/A,N/A,15,15,N/A,39.7,38.9,-0.8,4.7
Ireland,6,80.5,68.4,78,76.3,77.4,83.1,86,90,70,2,41,12.5,23,27.4,4.7,7.8,9.7
Israel,27,72.8,73.4,67.9,61.9,52.4,71.4,84.4,75,70,2.8,48,23,31.2,39.8,8.7,3.3,3.5
Italy,80,62.2,49.8,43.7,55.6,26.5,71.7,86,85,50,2,43,27.5,42.9,49.5,60.6,1.5,0.3
Jamaica,39,68.6,49.2,45,80.2,76,78,68.4,80,50,10.8,25,25,27.1,28.3,2.8,1,0.8
Japan,30,72.1,68.5,78,68.2,55,80.5,80,70,60,2.5,40.8,23.9,30.7,38.7,126.7,1.7,1.3
Jordan,53,66.5,52.6,50.3,91.4,73.4,61.8,81.4,70,60,4.3,14,20,16.3,29.8,7.1,2.3,2.5
Kazakhstan,59,65.4,56.1,40.3,93.4,83.7,73.9,80,50,50,2.5,10,20,12.8,23.3,18.2,4,3.3
Kenya,130,55.1,46.9,32.1,79.5,77.8,55.8,60.4,55,50,12.3,30,30,15.7,27.2,46.7,4.8,5.5
Kiribati,168,47.3,34.3,35.1,73,0,41.9,53.2,25,30,15.9,35,35,15.7,117.9,0.1,3.1,3.6
"Korea, North ",180,5.9,5,24.4,0,0,5,0,0,0,50,N/A,N/A,N/A,100,25.4,1.1,N/A
"Korea, South",29,72.3,57.5,50.5,64.2,68.6,91.3,80.4,70,70,4.8,46.2,27.5,26.3,32.4,51.5,3.1,3
Kosovo,51,67,53.5,44.7,92.5,77.7,73.8,70.8,65,30,7.1,10,10,23.5,27.2,1.9,4.1,3.4
Kuwait,90,60.8,43.3,35.3,97.7,17.3,57.4,79,55,60,3,0,15,1.6,52.5,4.4,-2.5,-0.1
Kyrgyz Republic,79,62.3,27.9,27.2,94.1,54.2,73.4,78.6,60,50,3.2,10,10,19.7,39.1,6.3,4.5,5.4
Laos,110,57.4,42.5,33.5,86.9,85.3,60.1,81.8,35,20,1.6,24,24,12.8,22.1,6.7,6.8,7.4
Latvia,35,70.4,48.4,35.5,77,57.1,77.5,86,85,60,2,31.4,20,30.2,37.8,2,4.5,2.8
Lebanon,154,51.1,26.6,18.2,91.8,75.6,47.9,79,60,50,3,20,15,13.8,28.5,4.5,1.2,1.5
Lesotho,142,53.1,45.7,30.9,59.4,33,53.3,81,55,40,2,35,25,47,47.3,1.9,3.1,2.8
Liberia,160,49.7,39,24.2,82.7,62.1,50.6,60.1,55,20,12.4,25,25,21.8,35.5,4.5,2.5,2.1
Libya,N/A,N/A,24.4,15.8,N/A,0,40.2,N/A,5,N/A,N/A,10,20,N/A,139.2,6.4,70.8,-7.9
Liechtenstein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85,80,N/A,7,12.5,N/A,N/A,"38,000 ppl.",N/A,N/A
Lithuania,21,74.2,61.2,47.8,86.4,65.1,75.2,86,80,70,2,15,15,30.2,34.1,2.8,3.8,3
Luxembourg,17,75.9,72.4,85.8,65.4,46.6,68.8,86,95,80,2,42,18,37.1,42.2,0.6,3.5,3.8
Macau,34,71,60,33.2,77.1,90.4,60,90,85,70,0,12,39,25,17.9,0.6,9.3,-0.6
Macedonia,33,71.1,60.7,44.7,91.8,70,80.2,82,65,60,4,10,10,24.8,31.6,2.1,0,2.7
Madagascar,114,56.6,24.4,14.3,91,91.8,47.3,69.2,55,50,7.9,20,20,10.1,16.6,25.6,4.1,3.4
Malawi,153,51.4,40.1,25.2,79.8,70.3,41.7,75.4,50,50,4.8,30,30,14.8,31.5,19.2,4,4
Malaysia,22,74,68.2,55.4,85.6,83.2,83.9,82,60,50,4,25,25,13.8,23.7,32.1,5.9,5.2
Maldives,141,53.2,36.4,33.5,95.8,60.8,78.3,62.6,35,30,11.2,0,0,20.5,36.1,0.4,4.8,5.2
Mali,103,58.1,33.4,29.6,68.7,85.4,53.8,69.8,65,40,7.6,40,35,17.6,22.1,18.9,5.3,5.3
Malta,41,68.6,50.4,50.3,64.2,56.1,67.1,86,85,60,2,35,35,33.6,38.3,0.5,6.6,6.9
Mauritania,119,55.7,30.6,30.6,78,74.2,61.9,62.6,50,40,8.7,30,25,25.9,29.3,3.9,3.2,3.5
Mauritius,25,73,62.1,40.3,92.1,80.3,79.8,88.4,80,70,0.8,15,15,18.4,25.6,1.3,3.9,3.6
Mexico,66,64.7,34.9,26.3,75.8,78.2,67.8,81.4,75,60,4.3,35,30,17.2,26.9,123.5,2,2.5
Micronesia,149,51.9,26.6,36.6,92.8,0,57.4,80.6,35,30,2.2,10,21,13.2,59.2,0.1,2,0.7
Moldova,97,59.1,29.6,25.4,85.4,59.1,67,78,55,50,3.5,18,12,31.5,36.9,3.5,4,4.4
Mongolia,126,55.4,23.8,29.8,88.5,63.1,66,75.8,50,60,4.6,10,25,20.7,35.1,3.1,5.1,5.7
Montenegro,92,60.5,51.8,39.5,85.3,32.6,73.3,84.7,75,50,2.6,9,9,36.1,47.4,0.6,4.2,3.2
Morocco,75,62.9,47.1,39.2,72.2,72.7,70.3,77.4,65,70,3.8,38,30,20.9,30.2,34.9,4.2,3.4
Mozambique,163,48.6,35.2,28.1,75.5,66.9,57.1,78,35,50,3.5,32,32,20.2,33.2,29.5,3,5.6
Namibia,99,58.7,54.7,49.8,66.5,48.9,65.8,83,65,40,1,37,34,28.6,41.3,2.3,-1.2,3.6
Nepal,136,53.8,34.7,26.2,84,83.7,61.8,60.4,10,30,12.3,25,25,18.7,23.3,29.3,7.5,4.3
Netherlands,13,76.8,74.7,89.1,51.6,42.9,81.4,86,90,80,2,52,25,38.8,43.6,17.1,3.1,1.8
New Zealand,3,84.4,83.5,96.7,71,50.4,91,92.4,80,80,1.3,33,28,32.1,40.7,4.8,3,3.3
Nicaragua,107,57.7,18.7,20.3,76.9,79.1,56,76,60,50,2,30,30,22.6,26.4,6.2,4.9,4.8
Niger,151,51.6,31,34.1,76.9,75.6,56.3,65.8,55,40,9.6,35,30,13.5,28.5,18.8,5.2,5.4
Nigeria,111,57.3,34.3,20.5,85,96.5,51.2,62.4,45,40,11.3,24,30,5.2,10.8,188.7,0.8,2.7
Norway,26,73,81.2,92.3,57.4,25.3,89.4,83.2,75,60,3.4,47.8,23,38,49.9,5.3,1.8,1.6
Oman,88,61,51.6,53.8,97.8,32.5,75.2,87,65,60,1.5,0,12,8.5,47.4,4.1,-0.3,2.7
Pakistan,131,55,40.2,30.6,80.5,87.6,56.1,64.8,55,40,10.1,30,30,12.4,20.3,197.3,5.3,4.3
Panama,50,67.2,30.1,34.1,85,85.3,73.6,79.2,75,70,5.4,25,25,15.8,22.2,4.1,5.4,5.8
Papua New Guinea,101,58.4,49,37.2,71.8,89.1,62.2,80.9,25,30,2,42,30,12.5,19.1,8.3,2.5,5.8
Paraguay,85,61.8,30,25.5,96.3,78.9,61.5,76.6,75,60,4.2,10,10,13,26.5,7,4.3,6
Peru,45,67.8,34,31.8,80.6,86.1,67.8,86.4,75,60,1.8,30,28,16,21.5,31.8,2.5,3.6
Philippines,70,63.8,36.4,30.9,76.9,88.7,61.3,78.2,60,60,3.4,35,30,13.7,19.4,105.3,6.7,6.6
Poland,46,67.8,44,49.8,74.9,48.8,65.4,86,80,70,2,32,19,33.6,41.3,38,4.6,3.2
Portugal,62,65.3,64.3,59.5,59.9,35.6,79.7,86,70,60,2,48,23,34.4,46.3,10.3,2.7,1.2
Qatar,28,72.6,60,77.4,99.7,56.8,71.2,83.2,60,60,3.4,0,0,5.7,37.9,2.7,2.1,3.3
Romania,42,68.6,51.9,39.8,89.7,69,63.1,86,70,50,2,10,16,26,32.1,19.6,7,4.5
Russia,98,58.9,45.1,36.6,89.4,62.3,78.4,77.8,30,30,3.6,13,20,22.2,35.4,144,1.5,0.3
Rwanda,32,71.1,83.2,67.9,79.8,79.4,56.2,70.4,60,40,7.3,30,30,15,26.2,11.8,6.1,6.7
Saint Lucia,38,68.7,63.8,50.3,76.2,79.3,76.3,73.2,65,40,5.9,30,30,24,26.3,0.2,3,1.9
Saint Vincent and the Grenadines,55,65.8,63.8,50.5,71.2,74.3,76.5,66.6,70,40,9.2,32.5,33,27.1,29.3,0.1,1,1.1
Samoa,82,62.2,31,37.7,79.9,62.3,77,63.8,55,30,10.6,27,27,23.6,35.5,0.2,2.4,2.1
S?o Tom? and Pr?ncipe,134,54,26.6,35.5,87.2,67,65.1,64.2,60,30,10.4,20,25,15.9,33.2,0.2,4,4.1
Saudi Arabia,91,60.7,62.7,49.8,99.8,57.5,72.3,76,45,50,4.5,2.5,2.5,3.4,37.6,32.4,-0.7,2.3
Senegal,117,56.3,40.4,40.3,70.8,73.3,53.3,72,60,40,9,40,30,20.4,29.8,15.9,7.2,5.6
Serbia,69,63.9,44.8,37.2,82,45.1,72.9,77,70,50,6.5,10,15,38.4,42.8,7,1.8,1.2
Seychelles,87,61.4,37.5,39.2,76.3,60.3,63.3,81.4,55,30,4.3,15,33,32.6,36.4,0.1,4.2,4.9
Sierra Leone,167,47.5,34.5,26.2,87.3,84.4,44.9,69.4,60,20,10.3,15,30,12.2,22.8,7.4,3.5,2.9
Singapore,2,89.4,92.4,95.1,90.4,90.7,90.8,94.8,85,80,0.1,22,17,13.7,17.6,5.6,3.6,3.5
Slovakia,65,65,37.2,37.7,78.6,46.1,61.3,86,75,70,2,25,21,32.7,42.4,5.4,3.4,3
Slovenia,58,65.5,46.5,53.6,58.4,38.3,79.3,86,70,50,2,50,17,37,45.4,2.1,5,2.5
Solomon Islands,133,54.6,51.7,33.5,65.5,36.5,68.6,56.8,15,30,14.1,40,30,30.8,46,0.6,3.2,2.9
Somalia,N/A,N/A,26.6,7.9,N/A,N/A,31.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.3,1.8,2.2
South Africa,102,58.3,39.3,39.7,62.1,67.6,64.3,76,45,50,4.5,45,28,31.3,32.8,56.5,1.3,1.5
Spain,57,65.7,51.4,51.9,62.3,46.2,66.8,86,85,70,2,45,25,33.5,42.3,46.3,3.1,1.9
Sri Lanka,115,56.4,39.4,28.9,84.9,88.3,75.1,76.2,40,40,4.4,24,28,12.3,19.8,21.4,3.1,4.2
Sudan,166,47.7,22.2,26.2,86.3,96.6,52.1,45,5,20,17.5,10,35,6.7,10.6,40.8,3.2,3
Suriname,165,48.1,22.2,35.5,70.9,77.2,48.3,64.6,40,30,10.2,38,36,13.2,27.6,0.6,0,-0.9
Sweden,19,75.2,84,88,43.2,26.7,88,86,85,80,2,57,22,44.1,49.4,10.1,2.4,2.8
Switzerland,4,81.9,82,88,70.5,64.8,75.4,87.4,85,90,1.3,40,24,27.8,34.3,8.4,1.1,1.6
Syria,N/A,N/A,24.4,20.3,N/A,N/A,49.6,47,0,N/A,16.5,22,28,N/A,N/A,18.4,N/A,N/A
Taiwan ,10,77.3,70.1,69.2,75,90.6,93.2,87,60,60,1.5,45,20,8.9,17.7,23.6,2.8,2.2
Tajikistan,122,55.6,52.1,36.4,91.8,64.6,67.3,73.6,25,30,5.7,13,15,20.6,34.3,8.8,7.1,6.8
Tanzania,94,60.2,41.4,33.2,80.5,90.3,46.6,67.8,55,50,8.6,30,30,12.4,18,50,6,6.8
Thailand,43,68.3,45.9,36.4,81.3,85.8,82.5,83,55,60,3.5,35,20,15.6,21.8,69.1,3.9,2.8
Timor-Leste,172,44.2,13.1,32.1,96.3,0.9,60.5,75,45,20,2.5,10,10,13.1,57.5,1.2,-0.5,3.1
Togo,158,50.3,29.6,28.1,67.8,77,50.4,69.4,65,30,10.3,45,27,21.5,27.7,7.8,4.4,5.5
Tonga,108,57.7,26.6,38.1,85.5,40.9,75.3,73.6,40,20,5.7,20,25,20.7,44.4,0.1,3.1,2.4
Trinidad and Tobago,112,57,40.6,32.9,82.3,61.9,67.8,68.4,60,50,8.3,25,25,22.8,35.7,1.4,-2.6,-1.3
Tunisia,125,55.4,42.7,36.6,74.4,74.4,76.7,71.4,45,30,9.3,35,30,20.8,29.2,11.5,1.9,1.7
Turkey,68,64.6,49.8,41.2,76.4,65.1,66,79.6,70,60,2.7,35,22,25.5,34.1,80.8,7,6
Turkmenistan,164,48.4,29.8,20.3,95.9,92,30,76,10,10,2,10,8,15.6,16.4,5.7,6.5,7.9
Uganda,95,59.7,38.5,25.4,73.3,88.7,46.3,75.4,55,40,7.3,40,30,12.9,19.4,37.7,4.5,4.3
Ukraine,147,52.3,31.5,29.6,81.8,46.9,66.1,75,35,30,2.5,20,18,33.1,42.1,42.3,2.5,-2.3
United Arab Emirates,9,77.6,87.1,78.8,99.2,68.8,79.9,84.4,40,60,2.8,0,0,8.9,32.3,10.1,0.5,3.3
United Kingdom,7,78.9,85.9,83.8,64.7,48.2,92.9,86,90,80,2,45,20,33.2,41.6,66.1,1.8,2.2
United States,12,76.8,78.6,77.4,75.1,57.1,83.8,86.6,85,80,1.7,37,21,26,37.8,325.9,2.3,2.2
Uruguay,40,68.6,58.9,69.2,77.2,67.5,74.3,78.6,85,30,5.7,30,25,27.4,32.9,3.5,3.1,2.6
Uzbekistan,140,53.3,34.3,25.2,91.3,67.4,72.5,62.6,10,10,8.7,22,7.5,18.2,33,32.1,5.3,7.4
Vanuatu,116,56.4,36.4,51.9,97.3,54.1,52.4,64.4,65,40,7.8,0,0,16.3,39.1,0.3,4.2,2.4
Venezuela,179,25.9,13.1,7.9,74.7,58.1,33.9,60,0,10,10,34,34,14.9,37.4,31.4,-14,-7.8
Vietnam,128,55.3,40.3,34,79.7,74.1,63.5,79.2,30,40,2.9,35,22,18,29.4,93.6,6.8,6.2
Yemen,N/A,N/A,22.2,20.3,N/A,83.7,45.1,71.4,50,N/A,4.3,N/A,N/A,N/A,N/A,30,-13.8,-16.1
Zambia,138,53.6,35.6,32.3,72.3,80.1,71.1,72.6,55,50,6.2,35,35,17.9,25.8,17.2,3.6,4
Zimbabwe,175,40.4,24.8,15.8,62.3,74.5,33.4,70,25,10,5,51.5,25,22.3,29.2,14.9,3,2.6
